parent_name,category_name,name,is_opensource,service_provider,website,cost_structure,fee_amount,free_credit,support_structure,sgb_domain,ngo_ref,additional_comments
Digital Learning and Training,,Orchard (Formerly Campus Cloud),No,Platform Commons,https://platformcommons.org/school-erp-campus-cloud/,Onboarding and Annual SaaS Fee,Starts from Rs. 10000 per month ,"First month free, upto 10% off for nonprofits",,All SDGs,"Learning Links Foundation, Make a Difference, Gubbachi","Campus Cloud is an app for educators and volunteers to manage classroom tasks. It helps mark attendance, conduct assessments, and evaluate progress. Additionally, it enables inspections and manages teachers and volunteers. Simplify your tasks with Campus Cloud."
,,Synergy Skills and Learning Management,No,SynergyConnect Data Innovations Private Limited,www.synergyconnect.in,Subscription based,2 Lakhs Onwards,500 Participants,24 x 7 Support (India Time),Economic Development,Dr Lal Path Lab,Includes automation of Mobilisation to Placements lifecycle and Online Learning
Others,,Common Farm,Yes,Platform Commons,https://commons.farm/markify-seller/commons-home,Per FPO based Pricing,Starting from Rs.2000 per FPO per Month,"Yes , based on no.of farmer the FPO has",Master Training and In person support ,Sustainable Agriculture ,,Complete FPO management tool with Market Linkage and Supply chain management 
,Stack management,New Relic,No,New Relic Inc,https://newrelic.com,,,,,,,
,Full stack suite,Sarvam.ai,No,Sarvam.ai,Sarvam.ai,,,,Email,Legal + other domains,,
,AI,AI Lab - multiple products / tools enabled by AI,"Yes
(For Ashoka Fellows)",https://socialinnovationsjournal.com/index.php/sij/article/view/7104,ashoka.org,,,,https://www.ashoka.org/en-in/story/social-entrepreneurs-leveraging-and-shaping-artificial-intelligencee,,,"Contact to know more:
https://www.linkedin.com/in/odinmuehlenbein/
https://www.linkedin.com/in/danimatielo/"
,Presentations,SlideShare,No,LinkedIn,https://www.slideshare.net,Free,Free,Free,Online FAQs,Domain Agnostic,"Share presentations globally
",share PowerPoint slides and presentations.
,Presentations,Prezi,No,Prezi Inc,https://prezi.com/?click_source=logged_element&page_location=header&element_type=logo,https://prezi.com/pricing/?click_source=logged_element&page_location=header&element_text=pricing,Starts at $5 per month,14 Days Free Trial,,Domain Agnostic,,"Create and share presentations online with the cloud- based, free software"
,Capacity Building,Commons.farm,No,Platform Commons,https://commons.farm,Onboarding and Annual SaaS Fee,Starts from Rs.10 per farmer per month,,,All SDGs,Vrutti,Capacity building for farmers
,,Wordwall,No,Wordwall.net,https://wordwall.net,https://wordwall.net/price-plans,Starts at 210 rupees per month,,Email support and website guide ,SDG 4: Quality Education,,Great to create teaching resources
,Marketplace,Commons.farm,No,Platform Commons,https://commons.farm,Onboarding and Annual SaaS Fee,Starts from Rs.10 per farmer per month,,,All SDGs,Vrutti,
,FPO ERP,Commons.farm,No,Platform Commons,https://commons.farm,Onboarding and Annual SaaS Fee,Starts from Rs.10 per farmer per month,,,All SDGs,Vrutti,
,Organic Transformation,Commons.farm,No,Platform Commons,https://commons.farm,Onboarding and Annual SaaS Fee,Starts from Rs.10 per farmer per month,,,All SDGs,Vrutti,
,Change Management System,Journeys of Change,No,Platform Commons,https://digitalcommons.io/product/journeysofchange,Onboarding and Annual SaaS Fee,Starts from Rs. 20000 per month,NA,,All SDGs,Gandhi Fellowship,
,Mentorship,Ally,No,Platform Commons,https://digitalcommons.io/product/ally,Onboarding and Annual SaaS Fee,Starts from Rs. 10000 per month ,"First month free, upto 10% off for nonprofits",,All SDGs,,"Ally is a mentorship app connecting mentors and mentees for online & offline sessions. The platform offers progress tracking, video call integration, auto recording, and feedback features. With Ally, nonprofits can observe progress of mentees and mentors towards desired goals. Leverage Ally to transform & scale your mentorship program."
,Security Cloud,Kaspersky Cloud for Endpoint Protection,No,Kaspersky,https://www.kaspersky.com/small-to-medium-business-security/cloud,Subscription-based,Varies by license,Trial available,"24/7 support, live chat, and resources",,"Subscription-based
Varies by license
Trial available
24/7 support, live chat, and resources",
,Hospital Management,Bahmni,Yes,Bahmni Coalition,https://www.bahmni.org,Free with community support; paid options,NA,,"Community support, paid options available",SDG 3 (Good Health & Well-being),"WHO, PATH, MSF",Tailored for low-resource health settings.
,Link Management,Bitly,No,Bitly,https://www.bitly.com/,"Subscription, Free Tier https://bitly.com/pages/pricing","Free, paid from $8/month",Basic free tier,"Email support, self-service resources",,Global Giving,Useful for tracking engagement in campaigns.
,Logistics/Shipping and Tracking,Shiprocket,No,Shiprocket,https://www.shiprocket.in,"Subscription, per shipment https://www.shiprocket.in/pricing/",Starts at 26/500 grams,,"Email, phone support available",,,Facilitates logistics for distributed NGOs.
,Payment Processing/Gateway,Razorpay,No,Razorpay,https://razorpay.com/,"Per transaction, subscription options",~2% per transaction,,"Email support, 24/7 helpdesk",,GiveIndia,Popular for fundraising and processing donations online.
